locus_tag	ftype	length_bp	gene	EC_number	COG	product
EIEOCHKN_00333	CDS	2772	dinG_1	3.1.-.-		3'-5' exonuclease DinG
EIEOCHKN_00334	CDS	507				hypothetical protein
EIEOCHKN_00335	CDS	1200	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
EIEOCHKN_00336	CDS	1335	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
EIEOCHKN_00337	CDS	960	iolU_1	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
EIEOCHKN_00338	CDS	519				hypothetical protein
EIEOCHKN_00339	CDS	219				hypothetical protein
EIEOCHKN_00340	CDS	642				hypothetical protein
EIEOCHKN_00341	CDS	687				hypothetical protein
EIEOCHKN_00342	CDS	582	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
EIEOCHKN_00343	CDS	1320				Nucleobase transporter PlUacP
EIEOCHKN_00344	CDS	1116	purK_1	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
EIEOCHKN_00345	CDS	1296	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
EIEOCHKN_00346	CDS	372	catD	1.-.-.-	COG2259	Putative oxidoreductase CatD
EIEOCHKN_00347	CDS	2607	clpB		COG0542	Chaperone protein ClpB
EIEOCHKN_00348	CDS	1284				hypothetical protein
EIEOCHKN_00349	CDS	1314		6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
EIEOCHKN_00350	CDS	1503				hypothetical protein
EIEOCHKN_00351	CDS	930	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
EIEOCHKN_00352	CDS	1281	lnrM		COG0842	Linearmycin resistance permease protein LnrM
EIEOCHKN_00353	CDS	1392	ppsB	2.3.1.-		Plipastatin synthase subunit B
EIEOCHKN_00354	CDS	489				hypothetical protein
EIEOCHKN_00355	CDS	1221	eis_1	2.3.1.-		N-acetyltransferase Eis
EIEOCHKN_00356	CDS	1836	lepA	3.6.5.-		Elongation factor 4
EIEOCHKN_00357	CDS	1017	purR_1			HTH-type transcriptional repressor PurR
EIEOCHKN_00358	CDS	1035	iolC_1	2.7.1.92	COG0524	5-dehydro-2-deoxygluconokinase
EIEOCHKN_00359	CDS	1917	iolD	3.7.1.22	COG3962	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase
EIEOCHKN_00360	CDS	840	iolB	5.3.1.30	COG3718	5-deoxy-glucuronate isomerase
EIEOCHKN_00361	CDS	1458	iolA	1.2.1.-	COG1012	Malonate-semialdehyde dehydrogenase
EIEOCHKN_00362	CDS	1008	iolG_1	1.1.1.18	COG0673	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
EIEOCHKN_00363	CDS	1020	iolG_2	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
EIEOCHKN_00364	CDS	891	iolE_1	4.2.1.44	COG1082	Inosose dehydratase
EIEOCHKN_00365	CDS	1596	yidK		COG4146	putative symporter YidK
EIEOCHKN_00366	CDS	306	ptcB	2.7.1.204	COG1440	PTS system galactose-specific EIIB component
EIEOCHKN_00367	CDS	834				hypothetical protein
EIEOCHKN_00368	CDS	1062	melR_1		COG1609	HTH-type transcriptional repressor MelR
EIEOCHKN_00369	CDS	387				hypothetical protein
EIEOCHKN_00370	CDS	1800				hypothetical protein
EIEOCHKN_00371	CDS	1143	ugl	3.2.1.180		Unsaturated chondroitin disaccharide hydrolase
EIEOCHKN_00372	CDS	1278				hypothetical protein
EIEOCHKN_00373	CDS	903	ngcF		COG1175	Diacetylchitobiose uptake system permease protein NgcF
EIEOCHKN_00374	CDS	879	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
EIEOCHKN_00375	CDS	672				hypothetical protein
EIEOCHKN_00376	CDS	969				hypothetical protein
EIEOCHKN_00377	CDS	3780				hypothetical protein
EIEOCHKN_00378	CDS	1005	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
EIEOCHKN_00379	CDS	1734			COG1132	putative ABC transporter ATP-binding protein
EIEOCHKN_00380	CDS	1728			COG1132	putative ABC transporter ATP-binding protein
EIEOCHKN_00381	CDS	768				hypothetical protein
EIEOCHKN_00382	CDS	4125				hypothetical protein
EIEOCHKN_00383	CDS	939	yteP_1		COG4209	putative multiple-sugar transport system permease YteP
EIEOCHKN_00384	CDS	924	sugB		COG0395	Trehalose transport system permease protein SugB
EIEOCHKN_00385	CDS	1467				hypothetical protein
EIEOCHKN_00386	CDS	636				hypothetical protein
EIEOCHKN_00387	CDS	1713	spoIIAB	2.7.11.1		Anti-sigma F factor
EIEOCHKN_00388	CDS	1482	rhaR_2			HTH-type transcriptional activator RhaR
EIEOCHKN_00389	CDS	2142				hypothetical protein
EIEOCHKN_00390	CDS	1113				hypothetical protein
EIEOCHKN_00391	CDS	483				hypothetical protein
EIEOCHKN_00392	CDS	381				hypothetical protein
EIEOCHKN_00393	CDS	1467	treB		COG1263	PTS system trehalose-specific EIIBC component
EIEOCHKN_00394	CDS	1005				hypothetical protein
EIEOCHKN_00395	CDS	354				hypothetical protein
EIEOCHKN_00396	CDS	705				hypothetical protein
EIEOCHKN_00397	CDS	339				hypothetical protein
EIEOCHKN_00398	CDS	846	yddE_1	5.1.-.-	COG0384	putative isomerase YddE
EIEOCHKN_00399	CDS	852	lrp			Leucine-rich protein
EIEOCHKN_00400	CDS	522	tadA_2	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
EIEOCHKN_00401	CDS	381				hypothetical protein
EIEOCHKN_00402	CDS	1239	pepS	3.4.11.-	COG2309	Aminopeptidase PepS
EIEOCHKN_00403	CDS	573				hypothetical protein
EIEOCHKN_00404	CDS	474	crtK-2		COG3476	Tryptophan-rich protein TspO
EIEOCHKN_00405	CDS	444	mioC		COG0716	Protein MioC
EIEOCHKN_00406	CDS	765	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
EIEOCHKN_00407	CDS	909				hypothetical protein
EIEOCHKN_00408	CDS	1149	tagO	2.7.8.33	COG0472	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase
EIEOCHKN_00409	CDS	783	wbbL	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
EIEOCHKN_00410	CDS	828				hypothetical protein
EIEOCHKN_00411	CDS	714			COG0463	putative protein
EIEOCHKN_00412	CDS	867	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
EIEOCHKN_00413	CDS	573	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
EIEOCHKN_00414	CDS	1029	rmlB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
EIEOCHKN_00415	CDS	843	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
EIEOCHKN_00416	CDS	726	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
EIEOCHKN_00417	CDS	351				hypothetical protein
EIEOCHKN_00418	CDS	342	arnE			4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
EIEOCHKN_00419	CDS	795	tagG_2		COG1682	Teichoic acid translocation permease protein TagG
EIEOCHKN_00420	CDS	1218	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EIEOCHKN_00421	CDS	3144	cmoM	2.1.1.-		tRNA 5-carboxymethoxyuridine methyltransferase
EIEOCHKN_00422	CDS	2142	arnC_3	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
EIEOCHKN_00423	CDS	1971				hypothetical protein
EIEOCHKN_00424	CDS	1302				hypothetical protein
EIEOCHKN_00425	CDS	1398				hypothetical protein
EIEOCHKN_00426	CDS	759	wfgD	2.4.1.305		UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD
EIEOCHKN_00427	CDS	849				hypothetical protein
EIEOCHKN_00428	CDS	621				hypothetical protein
EIEOCHKN_00429	CDS	705	tarI	2.7.7.40		Ribitol-5-phosphate cytidylyltransferase
EIEOCHKN_00430	CDS	1059	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
EIEOCHKN_00431	CDS	975	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
EIEOCHKN_00432	CDS	1428				hypothetical protein
EIEOCHKN_00433	CDS	825				hypothetical protein
EIEOCHKN_00434	CDS	972				hypothetical protein
EIEOCHKN_00435	CDS	1422				hypothetical protein
EIEOCHKN_00436	CDS	960	wbgU	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
EIEOCHKN_00437	CDS	981		2.4.-.-		putative glycosyltransferase
EIEOCHKN_00438	CDS	747	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
EIEOCHKN_00439	CDS	930	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
EIEOCHKN_00440	CDS	1242	hflX		COG2262	GTPase HflX
EIEOCHKN_00441	CDS	384	glnR		COG0789	HTH-type transcriptional regulator GlnR
EIEOCHKN_00442	CDS	1341	glnA	6.3.1.2		Glutamine synthetase
EIEOCHKN_00443	CDS	1503				hypothetical protein
EIEOCHKN_00444	CDS	3690		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
EIEOCHKN_00445	CDS	885	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
EIEOCHKN_00446	CDS	1164				hypothetical protein
EIEOCHKN_00447	CDS	1356	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
EIEOCHKN_00448	CDS	552				hypothetical protein
EIEOCHKN_00449	CDS	1707	ykoD_2	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
EIEOCHKN_00450	CDS	834	ecfT_1			Energy-coupling factor transporter transmembrane protein EcfT
EIEOCHKN_00451	CDS	1809	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
EIEOCHKN_00452	CDS	1281	femA	2.3.2.17		Aminoacyltransferase FemA
EIEOCHKN_00453	CDS	291				hypothetical protein
EIEOCHKN_00454	CDS	966				hypothetical protein
EIEOCHKN_00455	CDS	180				hypothetical protein
EIEOCHKN_00456	CDS	1491				hypothetical protein
EIEOCHKN_00457	tRNA	73				tRNA-Thr(ggt)
EIEOCHKN_00458	CDS	1071	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
EIEOCHKN_00459	CDS	681	metP_2		COG2011	Methionine import system permease protein MetP
EIEOCHKN_00460	CDS	834	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
EIEOCHKN_00461	CDS	1194	scmP_1	3.5.1.-	COG1473	N-acetylcysteine deacetylase
EIEOCHKN_00462	CDS	1539	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
EIEOCHKN_00463	CDS	927	fimA		COG0803	Manganese ABC transporter substrate-binding lipoprotein
EIEOCHKN_00464	CDS	870	mntB_1			Manganese transport system membrane protein MntB
EIEOCHKN_00465	CDS	750	scaC	7.2.2.5	COG1121	Manganese import ATP-binding protein ScaC
EIEOCHKN_00466	CDS	975	prs2	2.7.6.1		Putative ribose-phosphate pyrophosphokinase 2
EIEOCHKN_00467	CDS	1146	iscS_1	2.8.1.7		Cysteine desulfurase IscS
EIEOCHKN_00468	CDS	345				hypothetical protein
EIEOCHKN_00469	CDS	1125	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
EIEOCHKN_00470	CDS	1239	sbnD			Staphyloferrin B transporter
EIEOCHKN_00471	CDS	516				hypothetical protein
EIEOCHKN_00472	CDS	570	fabR_1			HTH-type transcriptional repressor FabR
EIEOCHKN_00473	CDS	366				hypothetical protein
EIEOCHKN_00474	CDS	2082	topB	5.6.2.1	COG0550	DNA topoisomerase 3
EIEOCHKN_00475	CDS	864	rhaS_1			HTH-type transcriptional activator RhaS
	repeat_region	499				
EIEOCHKN_00476	CDS	1419	cydA	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
EIEOCHKN_00477	CDS	1014	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
EIEOCHKN_00478	CDS	1734	cydD		COG4988	ATP-binding/permease protein CydD
EIEOCHKN_00479	CDS	1764			COG1132	putative ABC transporter ATP-binding/permease protein
EIEOCHKN_00480	CDS	981	hexs-b	2.5.1.83		Hexaprenyl-diphosphate synthase large subunit ((2E,6E)-farnesyl-diphosphate specific)
EIEOCHKN_00481	CDS	906	menA_1	2.5.1.74		1,4-dihydroxy-2-naphthoate octaprenyltransferase
EIEOCHKN_00482	CDS	1212		1.6.99.-	COG1252	NADH dehydrogenase-like protein
EIEOCHKN_00483	CDS	2424	spoIIIE		COG1674	DNA translocase SpoIIIE
EIEOCHKN_00484	CDS	702	fadR			Fatty acid metabolism regulator protein
EIEOCHKN_00485	CDS	750	yxdL		COG1136	ABC transporter ATP-binding protein YxdL
EIEOCHKN_00486	CDS	1830	yxdM			ABC transporter permease protein YxdM
EIEOCHKN_00487	CDS	1074	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
EIEOCHKN_00488	CDS	1329	steT		COG0531	Serine/threonine exchanger SteT
EIEOCHKN_00489	CDS	969	comGA		COG2804	ComG operon protein 1
EIEOCHKN_00490	CDS	1047				hypothetical protein
EIEOCHKN_00491	CDS	276	comGC		COG4537	ComG operon protein 3
EIEOCHKN_00492	CDS	417				hypothetical protein
EIEOCHKN_00493	CDS	1149	xerC_1			Tyrosine recombinase XerC
EIEOCHKN_00494	CDS	729				hypothetical protein
EIEOCHKN_00495	CDS	345				hypothetical protein
EIEOCHKN_00496	CDS	333				hypothetical protein
EIEOCHKN_00497	CDS	177				hypothetical protein
EIEOCHKN_00498	CDS	312				hypothetical protein
EIEOCHKN_00499	CDS	726				hypothetical protein
EIEOCHKN_00500	CDS	210				hypothetical protein
EIEOCHKN_00501	CDS	339				hypothetical protein
EIEOCHKN_00502	CDS	246				hypothetical protein
EIEOCHKN_00503	CDS	678				hypothetical protein
EIEOCHKN_00504	CDS	981				hypothetical protein
EIEOCHKN_00505	CDS	681				hypothetical protein
EIEOCHKN_00506	CDS	192				hypothetical protein
EIEOCHKN_00507	CDS	927				hypothetical protein
EIEOCHKN_00508	CDS	426				hypothetical protein
EIEOCHKN_00509	CDS	417				hypothetical protein
EIEOCHKN_00510	tRNA	72				tRNA-Trp(cca)
EIEOCHKN_00511	CDS	951				hypothetical protein
EIEOCHKN_00512	CDS	465				hypothetical protein
EIEOCHKN_00513	CDS	231				hypothetical protein
EIEOCHKN_00514	CDS	435				hypothetical protein
EIEOCHKN_00515	CDS	1284				hypothetical protein
EIEOCHKN_00516	CDS	1485				hypothetical protein
EIEOCHKN_00517	CDS	927				hypothetical protein
EIEOCHKN_00518	CDS	636				hypothetical protein
EIEOCHKN_00519	CDS	897				hypothetical protein
EIEOCHKN_00520	CDS	333				hypothetical protein
EIEOCHKN_00521	CDS	276				hypothetical protein
EIEOCHKN_00522	CDS	339				hypothetical protein
EIEOCHKN_00523	CDS	393				hypothetical protein
EIEOCHKN_00524	CDS	606				hypothetical protein
EIEOCHKN_00525	CDS	309				hypothetical protein
EIEOCHKN_00526	CDS	399				hypothetical protein
EIEOCHKN_00527	CDS	306				hypothetical protein
EIEOCHKN_00528	CDS	4455				hypothetical protein
EIEOCHKN_00529	CDS	723				hypothetical protein
EIEOCHKN_00530	CDS	1446				hypothetical protein
EIEOCHKN_00531	CDS	732				hypothetical protein
EIEOCHKN_00532	CDS	477				hypothetical protein
EIEOCHKN_00533	CDS	321				hypothetical protein
EIEOCHKN_00534	CDS	156				hypothetical protein
EIEOCHKN_00535	CDS	222				hypothetical protein
EIEOCHKN_00536	CDS	234				hypothetical protein
EIEOCHKN_00537	CDS	1242				hypothetical protein
EIEOCHKN_00538	CDS	201	csp		COG1278	Cold shock protein 1
EIEOCHKN_00539	CDS	225				hypothetical protein
EIEOCHKN_00540	tRNA	76				tRNA-Met(cat)
EIEOCHKN_00541	CDS	918	hemH	4.99.1.1	COG0276	Ferrochelatase
EIEOCHKN_00542	CDS	126				hypothetical protein
EIEOCHKN_00543	CDS	327				hypothetical protein
EIEOCHKN_00544	CDS	435				hypothetical protein
EIEOCHKN_00545	CDS	354				hypothetical protein
EIEOCHKN_00546	CDS	1008				hypothetical protein
EIEOCHKN_00547	CDS	1188	ackA	2.7.2.1	COG0282	Acetate kinase
EIEOCHKN_00548	CDS	474				Putative universal stress protein
EIEOCHKN_00549	CDS	279				hypothetical protein
EIEOCHKN_00550	CDS	1278			COG2256	putative AAA domain-containing protein
EIEOCHKN_00551	CDS	678		3.2.2.-		Putative 3-methyladenine DNA glycosylase
EIEOCHKN_00552	CDS	486				hypothetical protein
EIEOCHKN_00553	CDS	948	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
EIEOCHKN_00554	CDS	753	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
EIEOCHKN_00555	CDS	2214	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
EIEOCHKN_00556	CDS	447	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
EIEOCHKN_00557	CDS	1302	hisS	6.1.1.21		Histidine--tRNA ligase
EIEOCHKN_00558	CDS	1770	aspS	6.1.1.12		Aspartate--tRNA ligase
EIEOCHKN_00559	CDS	816	pdxK_1	2.7.1.35	COG0351	Pyridoxine kinase
EIEOCHKN_00560	CDS	507	hmpT		COG4720	Thiamine precursor transporter HmpT
EIEOCHKN_00561	CDS	570				hypothetical protein
EIEOCHKN_00562	CDS	879				hypothetical protein
EIEOCHKN_00563	CDS	1038	cggR		COG2390	Central glycolytic genes regulator
EIEOCHKN_00564	CDS	1002	gap_1	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
EIEOCHKN_00565	CDS	1194	pgk	2.7.2.3		Phosphoglycerate kinase
EIEOCHKN_00566	CDS	756	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
EIEOCHKN_00567	CDS	1299	eno	4.2.1.11		Enolase
EIEOCHKN_00568	CDS	825				hypothetical protein
EIEOCHKN_00569	CDS	1362	dgt	3.1.5.1		Deoxyguanosinetriphosphate triphosphohydrolase
EIEOCHKN_00570	CDS	2772	dgaR_1			Transcriptional regulatory protein DagR
EIEOCHKN_00571	CDS	465				hypothetical protein
EIEOCHKN_00572	CDS	471		2.7.1.-		putative phosphotransferase enzyme IIB component
EIEOCHKN_00573	CDS	792	agaC_1		COG3715	N-acetylgalactosamine permease IIC component 1
EIEOCHKN_00574	CDS	834	manZ_1		COG3716	PTS system mannose-specific EIID component
EIEOCHKN_00575	CDS	1077	glmS_2	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
EIEOCHKN_00576	CDS	1005	frlB	3.5.-.-	COG2222	Fructosamine deglycase FrlB
EIEOCHKN_00577	CDS	351				hypothetical protein
EIEOCHKN_00578	CDS	351				hypothetical protein
EIEOCHKN_00579	CDS	150				hypothetical protein
EIEOCHKN_00580	CDS	1836				hypothetical protein
EIEOCHKN_00581	CDS	1182	mdtL			Multidrug resistance protein MdtL
EIEOCHKN_00582	CDS	396				hypothetical protein
EIEOCHKN_00583	CDS	666	yeiL		COG0664	Regulatory protein YeiL
EIEOCHKN_00584	CDS	651				hypothetical protein
EIEOCHKN_00585	CDS	2706		7.2.2.10		Calcium-transporting ATPase 1
EIEOCHKN_00586	CDS	537				hypothetical protein
EIEOCHKN_00587	CDS	435				hypothetical protein
EIEOCHKN_00588	CDS	162				hypothetical protein
EIEOCHKN_00589	CDS	357				hypothetical protein
EIEOCHKN_00590	CDS	1335	npr_1	1.11.1.1	COG0446	NADH peroxidase
EIEOCHKN_00591	CDS	1467				hypothetical protein
EIEOCHKN_00592	CDS	1506	glpK	2.7.1.30	COG0554	Glycerol kinase
EIEOCHKN_00593	CDS	1830	glpO	1.1.3.21	COG0578	Alpha-glycerophosphate oxidase
EIEOCHKN_00594	CDS	720	glpF		COG0580	Glycerol uptake facilitator protein
EIEOCHKN_00595	CDS	540				hypothetical protein
EIEOCHKN_00596	CDS	843				hypothetical protein
EIEOCHKN_00597	CDS	1509				hypothetical protein
EIEOCHKN_00598	CDS	1914	RBKS	2.7.1.15		Ribokinase
EIEOCHKN_00599	CDS	921	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
EIEOCHKN_00600	CDS	1374	dcuD		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
EIEOCHKN_00601	CDS	477				hypothetical protein
EIEOCHKN_00602	CDS	1029	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
EIEOCHKN_00603	CDS	1254	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
EIEOCHKN_00604	CDS	582	engB		COG0218	putative GTP-binding protein EngB
EIEOCHKN_00605	CDS	153				hypothetical protein
EIEOCHKN_00606	CDS	303	yidD			Putative membrane protein insertion efficiency factor
EIEOCHKN_00607	CDS	882	bglK	2.7.1.85	COG1940	Beta-glucoside kinase
EIEOCHKN_00608	CDS	612				hypothetical protein
EIEOCHKN_00609	CDS	960				hypothetical protein
EIEOCHKN_00610	CDS	945				hypothetical protein
EIEOCHKN_00611	CDS	1338	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
EIEOCHKN_00612	CDS	486				hypothetical protein
EIEOCHKN_00613	CDS	687	ybhL		COG0670	Inner membrane protein YbhL
EIEOCHKN_00614	CDS	1803				hypothetical protein
EIEOCHKN_00615	CDS	600				hypothetical protein
EIEOCHKN_00616	CDS	375				hypothetical protein
EIEOCHKN_00617	CDS	1362	mntH_1			Divalent metal cation transporter MntH
EIEOCHKN_00618	CDS	525	rimM			Ribosome maturation factor RimM
EIEOCHKN_00619	CDS	741	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
EIEOCHKN_00620	CDS	348	rplS		COG0335	50S ribosomal protein L19
EIEOCHKN_00621	CDS	906				hypothetical protein
EIEOCHKN_00622	CDS	579				hypothetical protein
EIEOCHKN_00623	CDS	1002				hypothetical protein
EIEOCHKN_00624	CDS	411	lacR_1			Lactose phosphotransferase system repressor
EIEOCHKN_00625	CDS	345	lacR_2			Lactose phosphotransferase system repressor
EIEOCHKN_00626	CDS	1404	gatC_1		COG3775	PTS system galactitol-specific EIIC component
EIEOCHKN_00627	CDS	303				hypothetical protein
EIEOCHKN_00628	CDS	495				hypothetical protein
EIEOCHKN_00629	CDS	429	lacA	5.3.1.26		Galactose-6-phosphate isomerase subunit LacA
EIEOCHKN_00630	CDS	516	lacB	5.3.1.26		Galactose-6-phosphate isomerase subunit LacB
EIEOCHKN_00631	CDS	288				hypothetical protein
EIEOCHKN_00632	CDS	432	levD		COG2893	PTS system fructose-specific EIIA component
EIEOCHKN_00633	CDS	498	sorB_1	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
EIEOCHKN_00634	CDS	852	sorC		COG3715	PTS system sorbose-specific EIIC component
EIEOCHKN_00635	CDS	843	manZ_2		COG3716	PTS system mannose-specific EIID component
EIEOCHKN_00636	CDS	711	larD		COG0580	D/L-lactic acid transporter
EIEOCHKN_00637	CDS	1275	larC	4.99.1.12		Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
EIEOCHKN_00638	CDS	744	larB	2.5.1.143	COG1691	Pyridinium-3,5-biscarboxylic acid mononucleotide synthase
EIEOCHKN_00639	CDS	1275	larA	5.1.2.1	COG3875	Lactate racemase
EIEOCHKN_00640	CDS	657	larR_1		COG0664	Lactate racemization regulatory protein
EIEOCHKN_00641	CDS	987	larMN		COG0310	putative fused nickel transport protein LarMN
EIEOCHKN_00642	CDS	786	larQ		COG0619	Nickel permease LarQ
EIEOCHKN_00643	CDS	714	larO	3.6.3.-	COG1122	Nickel import ATP-binding protein LarO
EIEOCHKN_00644	CDS	837	larE	4.4.1.37	COG1606	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide synthase
EIEOCHKN_00645	CDS	1923				hypothetical protein
EIEOCHKN_00646	CDS	1458				hypothetical protein
EIEOCHKN_00647	CDS	2661				hypothetical protein
EIEOCHKN_00648	CDS	318				hypothetical protein
EIEOCHKN_00649	CDS	552				hypothetical protein
EIEOCHKN_00650	CDS	1038				hypothetical protein
EIEOCHKN_00651	CDS	1017	adhA	1.1.1.1		Alcohol dehydrogenase 1
EIEOCHKN_00652	CDS	387				hypothetical protein
EIEOCHKN_00653	CDS	5601				hypothetical protein
EIEOCHKN_00654	CDS	1992				hypothetical protein
EIEOCHKN_00655	CDS	744	agrA_1		COG3279	Accessory gene regulator protein A
EIEOCHKN_00656	CDS	729	agrB	3.4.-.-		Accessory gene regulator protein B
EIEOCHKN_00657	CDS	1344				hypothetical protein
EIEOCHKN_00658	CDS	1530	gelE	3.4.24.30	COG3227	Gelatinase
EIEOCHKN_00659	CDS	855	sspA	3.4.21.19	COG3591	Glutamyl endopeptidase
EIEOCHKN_00660	CDS	831	rbn	3.1.26.11		Ribonuclease BN
EIEOCHKN_00661	CDS	855	hdfR_1			HTH-type transcriptional regulator HdfR
EIEOCHKN_00662	CDS	1389	stp_1			Multidrug resistance protein Stp
EIEOCHKN_00663	CDS	2061	ltaS1_1		COG1368	Lipoteichoic acid synthase 1
EIEOCHKN_00664	CDS	846	gspA_1		COG1442	General stress protein A
EIEOCHKN_00665	CDS	903	gspA_2		COG1442	General stress protein A
EIEOCHKN_00666	CDS	732	nagR_1		COG2188	HTH-type transcriptional repressor NagR
EIEOCHKN_00667	CDS	1173	agaS	3.5.99.-	COG2222	D-galactosamine-6-phosphate deaminase AgaS
EIEOCHKN_00668	CDS	996	lacD_1	4.1.2.40		Tagatose 1,6-diphosphate aldolase
EIEOCHKN_00669	CDS	942	lacC_1	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
EIEOCHKN_00670	CDS	1785	bga	3.2.1.23		Beta-galactosidase
EIEOCHKN_00671	CDS	480	levE_1	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
EIEOCHKN_00672	CDS	900				hypothetical protein
EIEOCHKN_00673	CDS	810	manZ_3		COG3716	PTS system mannose-specific EIID component
EIEOCHKN_00674	CDS	408	manX_1	2.7.1.191		PTS system mannose-specific EIIAB component
EIEOCHKN_00675	CDS	3975				hypothetical protein
EIEOCHKN_00676	CDS	1155				hypothetical protein
EIEOCHKN_00677	CDS	645				hypothetical protein
EIEOCHKN_00678	CDS	570				hypothetical protein
EIEOCHKN_00679	CDS	453				hypothetical protein
EIEOCHKN_00680	CDS	1020	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
EIEOCHKN_00681	CDS	321				hypothetical protein
EIEOCHKN_00682	CDS	1641	dppE_2		COG4166	Dipeptide-binding protein DppE
EIEOCHKN_00683	CDS	876	nnrD	4.2.1.136	COG0063	ADP-dependent (S)-NAD(P)H-hydrate dehydratase
EIEOCHKN_00684	CDS	867				hypothetical protein
EIEOCHKN_00685	CDS	489	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
EIEOCHKN_00686	CDS	1125	purK_2	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
EIEOCHKN_00687	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
EIEOCHKN_00688	CDS	252	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
EIEOCHKN_00689	CDS	675	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
EIEOCHKN_00690	CDS	2220	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
